Country,Server,Ping
United Kingdom,uk1897.nordvpn.com,108
France,fr840.nordvpn.com,113
Netherlands,nl893.nordvpn.com,114
Belgium,be183.nordvpn.com,117
Sweden,se537.nordvpn.com,132
Portugal,pt64.nordvpn.com,140
Iceland,is48.nordvpn.com,143
Greece,gr43.nordvpn.com,160
Israel,il54.nordvpn.com,161
Turkey,tr53.nordvpn.com,170
Canada,ca1334.nordvpn.com,187
United States,us8114.nordvpn.com,211
India,in138.nordvpn.com,228
Mexico,mx91.nordvpn.com,234
Malaysia,my42.nordvpn.com,255
Brazil,br86.nordvpn.com,281
Thailand,th21.nordvpn.com,283
Hong Kong,hk289.nordvpn.com,293
Singapore,sg478.nordvpn.com,346
Argentina,ar42.nordvpn.com,348
Japan,jp585.nordvpn.com,352
Australia,au641.nordvpn.com,370
